iter	Passed	Remaining
0	50	50279
1	51	25517
2	51	17110
3	52	13021
4	52	10528
5	53	8881
6	54	7705
7	54	6816
8	55	6113
9	56	5558
10	56	5097
11	57	4716
12	57	4402
13	58	4130
14	59	3897
15	59	3682
16	60	3496
17	61	3338
18	61	3200
19	62	3071
20	63	2950
21	63	2842
22	64	2746
23	65	2644
24	65	2556
25	66	2480
26	66	2410
27	67	2343
28	70	2363
29	71	2303
30	69	2171
31	72	2193
32	73	2144
33	71	2027
34	74	2048
35	74	2003
36	75	1963
37	76	1927
38	76	1894
39	77	1862
40	78	1831
41	78	1798
42	79	1769
43	80	1741
44	80	1713
45	81	1687
46	81	1661
47	82	1638
48	83	1614
49	83	1592
50	84	1570
51	85	1551
52	85	1532
53	86	1513
54	87	1495
55	87	1476
56	88	1459
57	88	1442
58	89	1425
59	89	1409
60	90	1395
61	91	1380
62	91	1366
63	92	1351
64	92	1337
65	93	1325
66	91	1279
67	92	1269
68	93	1257
69	93	1247
70	94	1237
71	95	1227
72	96	1219
73	96	1211
74	97	1203
75	98	1194
76	98	1185
77	99	1176
78	100	1169
79	100	1161
80	101	1150
81	101	1139
82	102	1132
83	103	1123
84	103	1115
85	104	1109
86	105	1106
87	106	1099
88	106	1092
89	107	1084
90	107	1078
91	108	1071
92	109	1064
93	109	1058
94	110	1051
95	111	1046
96	111	1039
97	112	1033
98	112	1028
99	113	1020
100	114	1015
101	115	1013
102	115	1008
103	116	1004
104	117	1000
105	118	996
106	118	991
107	119	987
108	120	982
109	120	978
110	121	974
111	122	970
112	123	966
113	123	961
114	125	964
115	125	959
116	126	954
117	127	951
118	127	947
119	128	944
120	129	939
121	129	935
122	130	930
123	131	926
124	131	922
125	132	917
126	132	914
127	133	910
128	134	911
129	135	907
130	136	903
131	136	899
132	137	896
133	138	892
134	138	888
135	139	884
136	140	882
137	140	879
138	141	876
139	142	877
140	143	874
141	144	873
142	146	875
143	146	871
144	147	868
145	147	865
146	148	862
147	149	859
148	149	855
149	150	852
150	151	849
151	151	846
152	152	844
153	152	840
154	153	837
155	154	835
156	155	834
157	156	831
158	157	831
159	157	828
160	158	826
161	159	823
162	159	820
163	160	817
164	160	814
165	161	812
166	162	809
167	163	807
168	163	804
169	164	802
170	164	799
171	165	797
172	166	795
173	167	792
174	167	790
175	168	788
176	169	786
177	169	784
178	170	782
179	171	780
180	172	778
181	172	775
182	173	773
183	173	771
184	174	767
185	175	767
186	175	765
187	176	761
188	176	759
189	177	756
190	178	754
191	178	751
192	179	749
193	179	747
194	180	744
195	180	741
196	181	739
197	181	737
198	182	735
199	183	733
200	183	730
201	185	731
202	185	729
203	186	727
204	187	725
205	187	723
206	188	722
207	189	720
208	189	718
209	190	716
210	191	714
211	191	712
212	191	709
213	192	707
214	193	705
215	193	703
216	195	704
217	195	701
218	196	699
219	196	698
220	197	696
221	198	695
222	199	693
223	199	692
224	200	690
225	201	689
226	202	687
227	202	686
228	203	685
229	205	686
230	205	684
231	206	682
232	206	681
233	207	679
234	208	677
235	208	675
236	209	674
237	210	672
238	210	671
239	211	669
240	212	668
241	212	666
242	213	666
243	214	664
244	215	663
245	215	661
246	216	660
247	217	659
248	218	657
249	218	656
250	219	655
251	220	653
252	220	652
253	221	650
254	221	648
255	223	648
256	223	646
257	224	645
258	225	643
259	225	641
260	226	640
261	226	638
262	227	637
263	228	636
264	228	635
265	229	633
266	230	632
267	230	630
268	231	629
269	232	628
270	233	629
271	234	628
272	235	627
273	236	625
274	236	624
275	237	622
276	238	621
277	238	620
278	239	618
279	240	617
280	240	615
281	240	613
282	241	611
283	242	610
284	243	610
285	244	609
286	244	608
287	245	606
288	246	605
289	246	603
290	247	602
291	247	600
292	248	599
293	249	598
294	249	596
295	250	595
296	251	594
297	251	592
298	252	591
299	253	591
300	254	590
301	254	589
302	255	588
303	256	586
304	256	585
305	257	583
306	257	582
307	258	581
308	259	580
309	260	578
310	260	577
311	261	576
312	262	576
313	263	574
314	263	573
315	264	572
316	264	570
317	265	568
318	265	567
319	266	566
320	267	564
321	267	563
322	268	562
323	268	560
324	269	559
325	269	558
326	270	556
327	271	555
328	272	555
329	273	554
330	273	553
331	274	552
332	275	551
333	275	550
334	276	549
335	277	547
336	277	546
337	278	544
338	278	543
339	279	542
340	280	541
341	280	540
342	282	540
343	282	539
344	283	538
345	284	537
346	284	535
347	285	534
348	286	533
349	286	532
350	287	531
351	288	530
352	288	529
353	289	528
354	290	527
355	291	526
